id,name,fips,id_state
0,Abbeville,45001.0,44
1,Acadia,22001.0,20
2,Accomack,51001.0,51
3,Ada,16001.0,14
4,Adair,21001.0,19
5,Adair,29001.0,27
6,Adair,40001.0,39
7,Adair,19001.0,17
8,Adams,18001.0,16
9,Adams,16003.0,14
10,Adams,31001.0,29
11,Adams,55001.0,54
12,Adams,8001.0,6
13,Adams,38001.0,36
14,Adams,42001.0,41
15,Adams,28001.0,26
16,Adams,17001.0,15
17,Adams,39001.0,38
18,Adams,53001.0,52
19,Adams,19003.0,17
20,Addison,50001.0,49
21,Adjuntas,72001.0,42
22,Aguada,72003.0,42
23,Aguadilla,72005.0,42
24,Aguas Buenas,72007.0,42
25,Aibonito,72009.0,42
26,Aiken,45003.0,44
27,Aitkin,27001.0,25
28,Alachua,12001.0,10
29,Alamance,37001.0,35
30,Alameda,6001.0,5
31,Alamosa,8003.0,6
32,Albany,36001.0,34
33,Albany,56001.0,55
34,Albemarle,51003.0,51
35,Alcona,26001.0,24
36,Alcorn,28003.0,26
37,Aleutians East Borough,2013.0,1
38,Aleutians West Census Area,2016.0,1
39,Alexander,37003.0,35
40,Alexander,17003.0,15
41,Alexandria city,51510.0,51
42,Alfalfa,40003.0,39
43,Alger,26003.0,24
44,Allamakee,19005.0,17
45,Allegan,26005.0,24
46,Allegany,24001.0,22
47,Allegany,36003.0,34
48,Alleghany,51005.0,51
49,Alleghany,37005.0,35
50,Allegheny,42003.0,41
51,Allen,20001.0,18
52,Allen,22003.0,20
53,Allen,39003.0,38
54,Allen,21003.0,19
55,Allen,18003.0,16
56,Allendale,45005.0,44
57,Alpena,26007.0,24
58,Alpine,6003.0,5
59,Amador,6005.0,5
60,Amelia,51007.0,51
61,Amherst,51009.0,51
62,Amite,28005.0,26
63,Anasco,72011.0,42
64,Anchorage,2020.0,1
65,Anderson,47001.0,46
66,Anderson,45007.0,44
67,Anderson,48001.0,47
68,Anderson,21005.0,19
69,Anderson,20003.0,18
70,Andrew,29003.0,27
71,Andrews,48003.0,47
72,Androscoggin,23001.0,21
73,Angelina,48005.0,47
74,Anne Arundel,24003.0,22
75,Anoka,27003.0,25
76,Anson,37007.0,35
77,Antelope,31003.0,29
78,Antrim,26009.0,24
79,Apache,4001.0,3
80,Appanoose,19007.0,17
81,Appling,13001.0,11
82,Appomattox,51011.0,51
83,Aransas,48007.0,47
84,Arapahoe,8005.0,6
85,Archer,48009.0,47
86,Archuleta,8007.0,6
87,Arecibo,72013.0,42
88,Arenac,26011.0,24
89,Arkansas,5001.0,4
90,Arlington,51013.0,51
91,Armstrong,42005.0,41
92,Armstrong,48011.0,47
93,Aroostook,23003.0,21
94,Arroyo,72015.0,42
95,Arthur,31005.0,29
96,Ascension,22005.0,20
97,Ashe,37009.0,35
98,Ashland,55003.0,54
99,Ashland,39005.0,38
100,Ashley,5003.0,4
101,Ashtabula,39007.0,38
102,Asotin,53003.0,52
103,Assumption,22007.0,20
104,Atascosa,48013.0,47
105,Atchison,20005.0,18
106,Atchison,29005.0,27
107,Athens,39009.0,38
108,Atkinson,13003.0,11
109,Atlantic,34001.0,32
110,Atoka,40005.0,39
111,Attala,28007.0,26
112,Audrain,29007.0,27
113,Audubon,19009.0,17
114,Auglaize,39011.0,38
115,Augusta,51015.0,51
116,Aurora,46003.0,45
117,Austin,48015.0,47
118,Autauga,1001.0,0
119,Avery,37011.0,35
120,Avoyelles,22009.0,20
121,Baca,8009.0,6
122,Bacon,13005.0,11
123,Bailey,48017.0,47
124,Baker,41001.0,40
125,Baker,13007.0,11
126,Baker,12003.0,10
127,Baldwin,1003.0,0
128,Baldwin,13009.0,11
129,Ballard,21007.0,19
130,Baltimore,24005.0,22
131,Baltimore city,24510.0,22
132,Bamberg,45009.0,44
133,Bandera,48019.0,47
134,Banks,13011.0,11
135,Banner,31007.0,29
136,Bannock,16005.0,14
137,Baraga,26013.0,24
138,Barber,20007.0,18
139,Barbour,54001.0,53
140,Barbour,1005.0,0
141,Barceloneta,72017.0,42
142,Barnes,38003.0,36
